ANKARA
VEHICLE
NUMBER     CAPACITY
25         500

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   # COMMENT
 
0         39.9334    32.8597    0        # Kızılay (Depo)
1         39.9207    32.8485    15       # Ulus
2         39.9377    32.8539    20       # Sıhhiye
3         39.9470    32.8853    25       # Cebeci
4         39.9234    32.8663    15       # Kurtuluş
5         39.9192    32.8662    20       # Kolej
6         39.9316    32.8422    30       # Maltepe
7         39.9277    32.8361    25       # Anıttepe
8         39.9168    32.8662    15       # Kocatepe
9         39.9316    32.8644    20       # Demirtepe
10        39.9234    32.8539    25       # Opera
11        39.9207    32.8539    30       # Yenişehir
12        39.9234    32.8485    15       # Necatibey
13        39.9277    32.8485    20       # Bakanlıklar
14        39.9207    32.8422    25       # Çankaya
15        39.9168    32.8422    30       # Gaziosmanpaşa
