BURSA
VEHICLE
NUMBER     CAPACITY
25         500

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   # COMMENT
 
0         40.1885    29.0610    0        # Osmangazi (Depo)
1         40.1911    29.0743    15       # Heykel
2         40.1982    29.0614    20       # Çekirge
3         40.2153    28.9776    25       # Nilüfer
4         40.1857    29.0816    15       # Setbaşı
5         40.1965    29.0669    20       # Altıparmak
6         40.2275    28.9843    30       # Görükle
7         40.1830    29.0671    25       # Yeşil
8         40.2011    29.0433    15       # FSM
9         40.2236    29.0072    20       # Ertuğrul
10        40.1957    29.0812    25       # Yıldırım
11        40.2185    29.0295    30       # Emek
12        40.1744    29.0797    15       # Gökdere
13        40.2308    29.0168    20       # Beşevler
14        40.1930    29.0555    25       # Ulucami
15        40.2128    29.0391    30       # İhsaniye
