ISTANBUL
VEHICLE
NUMBER     CAPACITY
25         500

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   # COMMENT
 
0         41.0370    28.9850    0        # Taksim
1         41.0280    28.9740    10       # Şişhane
2         41.0220    28.9720    15       # Karaköy
3         41.0350    28.9770    20       # Beyoğlu
4         41.0160    28.9740    15       # Eminönü
5         41.0260    28.9740    25       # Galata
6         41.0150    28.9500    30       # Fatih
7         41.0820    28.9890    10       # 4.Levent
8         41.0820    29.0340    15       # Kavacık
9         41.0260    29.0150    20       # Üsküdar
10        41.0360    28.9640    25       # Kasımpaşa
11        41.1060    29.0160    30       # Maslak
12        41.0160    28.9770    10       # Sirkeci
13        41.0020    29.0630    15       # Ataşehir
14        41.0320    28.9780    20       # Tarlabaşı
15        41.1120    29.0090    25       # Ayazağa
16        41.1460    29.0510    30       # Sarıyer
17        40.9900    29.0280    10       # Kadıköy
18        41.0090    28.9550    15       # Aksaray
19        41.1280    29.0980    20       # Beykoz
20        41.0480    28.9720    25       # Kağıthane
21        41.0330    29.0380    30       # Çengelköy
22        40.9630    29.0990    10       # Bostancı
23        41.0670    28.9190    15       # Gaziosmanpaşa
24        41.0340    28.9780    20       # Tepebaşı
25        40.9220    29.1360    25       # Maltepe 
