ISTANBUL
VEHICLE
NUMBER     CAPACITY
25         500

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND  # COMMENT
 
0         41.0082    28.9784    0      # Mecidiyeköy
1         41.0350    28.9750    10     # Şişli
2         41.0400    28.9780    15     # Levent
3         41.0380    28.9720    20     # Gayrettepe
4         41.0320    28.9750    15     # Beşiktaş
5         41.0450    28.9730    25     # Maslak
6         41.0370    28.9700    30     # Ortaköy
7         41.0420    28.9750    10     # Esentepe
8         41.0330    28.9800    15     # Nişantaşı
9         41.0390    28.9700    20     # Kağıthane
10        41.0410    28.9800    30     # Etiler
11        41.0340    28.9750    10     # Harbiye
12        41.0430    28.9700    15     # Ayazağa
13        41.0370    28.9750    20     # Dikilitaş
14        41.0390    28.9800    25     # Fulya
15        41.0420    28.9700    10     # Çeliktepe
16        41.0380    28.9750    15     # Balmumcu
17        41.0400    28.9800    20     # Levazım
18        41.0360    28.9750    25     # Pangaltı
19        41.0440    28.9700    30     # Seyrantepe
20        41.0390    28.9750    10     # Zincirlikuyu
21        41.0410    28.9800    15     # Ulus
22        41.0370    28.9750    20     # Osmanbey
23        41.0430    28.9700    25     # Huzur Mahallesi
