IZMIR
VEHICLE
NUMBER     CAPACITY
25         500

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   # COMMENT
 
0         38.4192    27.1287    0        # Konak (Depo)
1         38.4361    27.1518    15       # Alsancak
2         38.4570    27.0965    20       # Karşıyaka
3         38.4237    27.1436    25       # Basmane
4         38.4649    27.0891    15       # Bostanlı
5         38.4025    27.1430    20       # Hatay
6         38.4618    27.1277    30       # Bayraklı
7         38.3945    27.0826    25       # Güzelyalı
8         38.4332    27.1369    15       # Çankaya
9         38.4738    27.1241    20       # Manavkuyu
10        38.4183    27.1507    25       # Göztepe
11        38.4512    27.1718    30       # Bornova
12        38.3881    27.1303    15       # Karabağlar
13        38.4595    27.1881    20       # Buca
14        38.4271    27.1692    25       # Yeşilyurt
15        38.4462    27.2205    30       # Evka
